"Neighborhood","Venue Category","Venue","Id","Neighborhood_Latitude","Neighborhood_Longitude","Location_Formatted_Address","Categories_Name","Location_Address","Location_Postal_Code","Location_City","Location_State","Cluster_Label"
"Sarjapur Road","High School","Delhi Public School Bangalore East","4d71be77ff6ba35dbedd638a",12.88422109,77.72610859,"Sarjapur Road","High School","Sarjapur Road","null","Bangalore","Karnataka",2
"Dommasandra","High School","Government High School","5d71dff9bb29a0000736d518",12.861798,77.784973,"Bangalore 562125","High School","null",562125,"Bangalore","Karnataka",2
"Amruthahalli","School","Sri Sri Ravishankar Balmandir","4f0952fde4b05dd3a414fcea",13.06514835,77.58436584,"609 (Sahakarnagar)","School",609,560092,"Bangalore","Karnataka",1
"Malleswaram","Elementary School","BP Indian","5185dd72498e8e931841baf5",13.00040424,77.56711659,"4th main, between 9th n 11th cross","Elementary School","4th main, between 9th n 11th cross","null","Bangalore","Karnataka",1
"C.V.Raman Nagar","School","Narayana E-Techno School","4fdc1471e4b0dce4ffec9e7d",12.98597722,77.66462702,"Near C V Raman Nagar Bus Stop (Kaggadasapura Main Road)","School","Near C V Raman Nagar Bus Stop",560093,"Bangalore","Karnataka",2
"Yelahanka","Driving School","Babuji Driving School","5678ac47498e2a89e8431e08",13.122003,77.626673,"#30/14 (3rd Cross, Shivashankar Layout, A.F.S Post, Yelaha)","Driving School","#30/14",560063,"Bangalore","Karnataka",1
"Bangalore","Mall","UB City","4bcd805cfb84c9b61512223e",12.97170898,77.59590528,"at Vittal Mallya Rd","Shopping Mall","at Vittal Mallya Rd",560001,"Bangalore","Karnataka",0
"Sadashivanagar","Spa","Affinity International Salon","4d95c0f39aec594174cf6164",13.00939027,77.57972145,"No.40/43, 8th Main Rd, 5th block (Sadashivanagar)","Spa","No.40/43, 8th Main Rd, 5th block",560080,"Bangalore","Karnataka","#N/A"
"Banaswadi","Used Auto Dealer","Street Cars Premium","5efb299d8055300008db932b",13.02197,77.62889,"Bangalore 560043","Used Auto Dealership","null",560043,"Bangalore","Karnataka",1
"G.K.V.K.","Mall","RMZ Galleria Mall","550ab597498e7baec3dda841",13.0943365,77.59486,"Yelahanka New Town (Opp. Yelahanka Police Station)","Shopping Mall","Yelahanka New Town",560065,"Bangalore","Karnataka",1
"Bannerghatta Road","Sporting Goods","Decathlon Sports India Pvt Ltd","4f09811be4b0aa2dc772faee",12.88751304,77.59771185,"1st Flr, Raj Alkaa Park (Bannerghatta Road)","Sporting Goods Shop","1st Flr, Raj Alkaa Park",560076,"Bangalore","Karnataka",0
"Hoodi","Mall","Forum Shantiniketan Mall","5b6d42b8b54618002c6bde07",12.98962565,77.72821977,"Prestige Shantiniketan","Shopping Mall","Prestige Shantiniketan",560048,"Bangalore","Karnataka",2
"Bellandur","Health Food Store","Grab N Go","5cdbd2c7dd12f8002c31c6df",12.936813,77.6886,"Bangalore 560103","Health Food Store","null",560103,"Bangalore","Karnataka",2
"Fraser Town","Residential","Victory Ashoka Enclave","50403f1fe4b0374347de6b7c",13.00033443,77.61145592,"12 Netaji Road, Fraser Town","Residential Building (Apartment / Condo)","12 Netaji Road, Fraser Town","560 005","Bangalore","Karnataka",1
"Benson Town","Department Store","More","4be6a48bbcef2d7fb25205e5",12.99971945,77.59942682,"no. 11, 1st Main, (Jayamahal Extension)","Department Store","no. 11, 1st Main,",560046,"Bangalore","Karnataka",1
"Vital Mallya Road","Gas Station","Shell Petrol Pump","4e7060d2483b9778fd3aec59",12.97128689,77.5969842,"Vital Mallya Road","Gas Station","Vital Mallya Road","null","Bangalore","Karnataka",0
"Devanagundi","Supermarket","Rolla Hypermarket","5b431e5925fb7b002c324cbb",13.012788,77.760908,"Seegehalli Bus Stop","Supermarket","Seegehalli Bus Stop",560067,"Bangalore","Karnataka",2
"Bangalore","Gas Station","Shell","4c49735b567776b092a9e187",12.97125206,77.59711646,"Vittal Mallya Road","Gas Station","Vittal Mallya Road",560001,"Bangalore","Karnataka",0
"Fraser Town","Gas Station","HP Petrol Pump","4e7b4df245dd40a077057f25",12.99588278,77.61149881,"Coles Road (Frazer Town)","Gas Station","Coles Road",560005,"Bangalore","Karnataka",1
"Sivan Chetty Gardens","Market","Commercial Street","4c0120e375fc9521c7db4898",12.98204207,77.60732743,"Shivajinagar","Market","Shivajinagar",560042,"Bangalore","Karnataka",0
"Malleswaram West","Mall","Orion Mall","4f1869c7e4b0ebf9e4ae9134",13.01131324,77.55503924,"#26/1 (Dr. Rajkumar Rd, Rajajinagar)","Shopping Mall","#26/1",560055,"Bangalore","Karnataka",1
"Malleswaram","Mall","Mantri Square","4b8d02aff964a52035e432e3",12.99157597,77.5710854,"#1, Sampige Road, Malleswaram (Sampige Road)","Shopping Mall","#1, Sampige Road, Malleswaram",560003,"Bangalore","Karnataka",1
"Chickpet","Shop","Sachin Light House","4d312efb8250f04d7a5de7e0",12.97286434,77.57320052,"92/1 lakshman rao road (Chickpet)","Miscellaneous Shop","92/1 lakshman rao road",560053,"Bangalore","Karnataka",0
"Koramangala VI Bk","Used Bookstore","Book Fair","5fda3eb464a7f55b627f1ab7",12.937505,77.61892,"M. Munireddy Eramma Kalyana Mantapa Circle, (KORAMANGALA 6th Block,)","Used Bookstore","M. Munireddy Eramma Kalyana Mantapa Circle,",560095,"Bangalore","Karnataka",0
"kasavanahalli","Department Store","Aishwarya Value Mart","4dfe08cc18a8eee4fe421b87",12.90402451,77.67587257,"Opp La Casa (kasavanahalli main road)","Department Store","Opp La Casa","null","Bangalore","Karnataka",2
