"Neighborhood","Venue Category","Venue","Id","Neighborhood_Latitude","Neighborhood_Longitude","Location_Formatted_Address","Categories_Name","Location_Address","Location_Postal_Code","Location_City","Location_State","Cluster_Label"
"Bannerghatta Road","Cineplex","Pvr Cinemas Audi 4","5cc521ce23a2e6002c55013a",12.907852,77.601105,"Bangalore 560076","Multiplex","null",560076,"Bangalore","Karnataka",0
"Adugodi","Indie Movies","Shiva Theatre","4cfbd424dccef04df03ebd9c",12.9415258,77.6173245,"Adugodi Main Rd, Koramangala 8 Block, Adugodi","Indie Movie Theater","Adugodi Main Rd, Koramangala 8 Block, Adugodi","null","Bangalore","Karnataka",0
"Dharmaram College","Cineplex","PVR Cinemas","4bda6ca63c4fef3bbca2f4bf",12.93438876,77.61118429,"3rd and 4th Floors, The Forum Mall, #29, Hosur Road, 5th Block, Kormangala (Hosur Road)","Multiplex","3rd and 4th Floors, The Forum Mall, #29, Hosur Road, 5th Block, Kormangala",560029,"Bangalore","Karnataka",0
"Agara","Cineplex","PVR","4df48cc062e1288ed307d1df",12.9263276,77.67534694,"Bangalore Central Mall (Outer Ring Road Bellandur)","Multiplex","Bangalore Central Mall",560034,"Bangalore","Karnataka",2
"Begur","Cineplex","PVR Cinemas","5a54eda40802d413e056c732",12.9076222,77.60108215,"Bengaluru South 560068","Multiplex","null",560068,"Bangalore","Karnataka",0
"Forum Mall","Movie Theater","PVR IMAX","53acf0b0498e90d68a0ff6bb",12.93459497,77.61132108,"Forum Mall","Movie Theater","Forum Mall","null","Bangalore","Karnataka",0
"CMP Centre And School","Cineplex","PVR Cinemas","50927aac498eeb726337e5b9",13.01080073,77.55500468,"ORION Mall, Brigade Gateway (26/1, Dr.Rajkumar Road, Rajaji Nagar)","Multiplex","ORION Mall, Brigade Gateway",560025,"Bangalore","Karnataka",1
"Doddagubbi","Cineplex","PVR Cinemas Elements Mall","550570aa498ef793c4b09c5f",13.04522246,77.62678891,"Nagavara Village (100 Ft Rd)","Multiplex","Nagavara Village",560077,"Bangalore","Karnataka",1
"Vaishnavi Saffire Mall","Cineplex","PVR Vaishnavi","56d5b4efcd1053e5b7a47a62",13.02415244,77.54873323,"Vaishnavi Saffire Mall (Tumkur Road)","Multiplex","Vaishnavi Saffire Mall","null","Bangalore","Karnataka",1
"T Dasarahalli,","Cineplex","Carnival Cinemas","5002f6b6e4b063cc7c1ca67e",13.04040655,77.51813766,"No.8, Rockline Mall, Chokkasandra, T Dasarahalli, (Jalahalli cross)","Multiplex","No.8, Rockline Mall, Chokkasandra, T Dasarahalli,","null","Bangalore","Karnataka",1
"Bangalore Central","Movie Theater","Inox JP Nagar","4cea66cdf1c6236a9b6c6af0",12.91626571,77.59245757,"5th Floor, Bangalore Central (Mantri Junction, 45th Cross, JP Nagar 2nd Phase)","Movie Theater","5th Floor, Bangalore Central","560 069","Bangalore","Karnataka",0
"Kenchanahalli","Cineplex","Gopalan Cinemas","4df4a58388772e1f8157de41",12.92884952,77.51845185,"Gopalan Arcade Mall (Mysore road)","Multiplex","Gopalan Arcade Mall",560098,"Bangalore","Karnataka",0
"Bannerghatta Road","Cineplex","Cinepolis","4db3a88643a1369cb5a9d259",12.87611902,77.59545549,"4th Floor, Royal Meenakshi Mall, Hulimavu (Bannerghatta Rd.)","Multiplex","4th Floor, Royal Meenakshi Mall, Hulimavu",560076,"Bangalore","Karnataka",0
"Sampangiramnagar","Movie Theater","Urvashi Cinemas","4c541506f5f3d13ad4f58df9",12.95563088,77.58561667,"Lalbagh Main Road (Doddamavalli, Sudhama Nagar)","Movie Theater","Lalbagh Main Road",560027,"Bangalore","Karnataka",0
"Jayanagar","Cineplex","Inox Jayanagar","4c487871972c0f4778142721",12.92867846,77.59123543,"4th Floor, Shree Garuda Swagath Mall, (Tilak Nagar Main Road, Jayanagar)","Multiplex","4th Floor, Shree Garuda Swagath Mall,","560 041","Bangalore","Karnataka",0
"Industrial","Cineplex","The Cinema GT World Mall","593a6c866fd6265aed5d63e8",12.97369678,77.55160425,"Magadi Road","Multiplex","Magadi Road",560010,"Bangalore","Karnataka",0
"Mathikere","Indie Movies","Murali gokula Theatre","4cb6fcc755af224b5eaf9d7e",13.03846721,77.55273102,"Mathikere","Indie Movie Theater","Mathikere","null","Bangalore","Karnataka",1
"CMP Centre And School","Mall","Garuda Mall","4ba1f6c1f964a520e4d337e3",12.97013971,77.60997796,"Ashok Nagar (Magrath Road)","Shopping Mall","Ashok Nagar",560025,"Bangalore","Karnataka",0
"Bangalore","Coffee Shop","Starbucks, Vittal Mallya Road","5c937d0235811b002c549ae6",12.971321,77.59819,"38/1 Vittal Mallya Road, Bangalore","Coffee Shop","38/1 Vittal Mallya Road, Bangalore",560001,"Bangalore","Karnataka",0
"HSR","Ice Cream","Papacream","5be04d0135f983002cad1b16",12.91389388,77.66661311,"No. 49, First Floor, Shubh Enclave, Haralur Road (Off Sarjapur Road)","Ice Cream Shop","No. 49, First Floor, Shubh Enclave, Haralur Road",560102,"Bangalore","Karnataka",2
"Hoodi","Mall","Phoenix Marketcity","4ea2b2e7722ec75ade643f30",12.9974177,77.6965593,"Whitefield Main Rd (Mahadevapura)","Shopping Mall","Whitefield Main Rd",560048,"Bangalore","Karnataka",2
"Fraser Town","Juice Bar","Cane Town","5d6f7451a9fbd90008c2f920",13.000806,77.615693,"Bangalore 560005","Juice Bar","null",560005,"Bangalore","Karnataka",1
"Bangalore","Indian","India Chai","5be9b09cc0c0840025f6f7a8",12.973108,77.603276,"Bangalore 560001","Indian Restaurant","null",560001,"Bangalore","Karnataka",0
"H.A.L II Stage","Cupcakes","Magnolia Bakery","5dc92ee6ba188a00082dee18",12.970125,77.64096,"12th Main (Indiranagar)","Cupcake Shop","12th Main",560008,"Bangalore","Karnataka",0
"Benson Town","Juice Bar","Coconut Cooler","5e6f5237bd23420008cc2131",13.000693,77.599499,"Bangalore 560046","Juice Bar","null",560046,"Bangalore","Karnataka",1
"Agara","Mughlai","Al Daaz","5a6e04401cf2e11de3d1094a",12.921521,77.651555,"Near HSR Police Station (27th Main)","Mughlai Restaurant","Near HSR Police Station",560034,"Bangalore","Karnataka",2
"BENSON TOWN","Halal","7 PLATES","536f9148498e23105b480369",12.9972176,77.60393979,"BENSON TOWN (MAIN ROAD)","Halal Restaurant","BENSON TOWN","null","Bangalore","Karnataka",1
"Hoodi","Caf�","Chaayos","5d74c084fae52c0008fce172",12.996627,77.69665,"First Floor, Phoenix Marketcity Mall (Whitefield Main Road)","Caf�","First Floor, Phoenix Marketcity Mall",560048,"Bangalore","Karnataka",2
"HSR","Tea Room","Chaayos","5fd45c674f4e7856aa88c001",12.912423,77.651749,"27th Main Road, Sector 1 (HSR Layout)","Tea Room","27th Main Road, Sector 1",560102,"Bangalore","Karnataka",2
"H.A.L II Stage","Caf�","Chai Days","5ce2fb906336be002c4957f3",12.96661,77.641594,"Bangalore 560008","Caf�","null",560008,"Bangalore","Karnataka",0
"Adugodi","Caf�","Malabar Cafe & Restaurant","5fc9cc1efba3122f0ea18e99",12.936211,77.614685,"Bangalore 560030","Caf�","null",560030,"Bangalore","Karnataka",0
"Bellandur","Bakery","Magnolia Bakery","5fdb5582c11e32466d1f744a",12.920437,77.685467,"RMZ Ecoworld","Bakery","RMZ Ecoworld",560103,"Bangalore","Karnataka",2
"Banashankari III Stage","Breakfast","Aithal's Mithra Koota","5854ce96cc5b6a3de51e25d6",12.94333,77.54065,"50 ft road (girinagar)","Breakfast Spot","50 ft road",560085,"Bangalore","Karnataka",0
"Koramangala VI Bk","Tea Room","Chai Chowk","508c994ce4b017e57869ebed",12.93632911,77.61466686,"Koramangala 7th Block (1st Cross)","Tea Room","Koramangala 7th Block",560095,"Bangalore","Karnataka",0
"Koramangala VI Bk","Burgers","Truffles Ice & Spice","4c11f49ca9420f47c3a07d51",12.93344283,77.61426454,"#28 (4th 'B' Crs, 5th Blk, Koramangala)","Burger Joint","#28",560095,"Bangalore","Karnataka",0
"Basavanagudi","Indian","Vidyarthi Bhavan","4b8676e7f964a520318b31e3",12.94508159,77.57141473,"#32 (Gandhi Bazaar Rd)","Indian Restaurant","#32",560004,"Bangalore","Karnataka",0
"Frazer Town","Indian","Empire Restaurant","4b968ceff964a520fdd334e3",12.99981523,77.6159701,"Mosque Rd, Frazer Town","Indian Restaurant","Mosque Rd, Frazer Town","null","Bangalore","Karnataka",1
"Jayangar III Block","Coffee Shop","Starbucks","5a86c3a195da0c0fadda2c14",12.92462387,77.58380514,"Bangalore 560011","Coffee Shop","null",560011,"Bangalore","Karnataka",0
"Bellandur","Coffee Shop","Starbucks","5cdce6a658002c002c41af4b",12.937301,77.688736,"Bangalore 560103","Coffee Shop","null",560103,"Bangalore","Karnataka",2
"Bangalore","Buffet","Lush","5b5c375cad910e002c31e8d0",12.984587,77.57647,"Bangalore 560001","Buffet","null",560001,"Bangalore","Karnataka",0
"Sadashivanagar","Coffee Shop","Third Wave Coffee Roasters","5b8832d44ac28a002c87478d",13.008224,77.579922,"396, 13th Cross Road, 8th Main (Sadashivanagar)","Coffee Shop","396, 13th Cross Road, 8th Main",560080,"Bangalore","Karnataka",1
"Bellandur","Fast Food","Leon Grill","5fddaa3b77cdd2243a9c4ba4",12.924303,77.673751,"Bangalore 560103","Fast Food Restaurant","null",560103,"Bangalore","Karnataka",2
"Devanagundi","South Indian","Sri Sai Palace","5bd568dbdeb4950025a8af50",13.006801,77.75748,"Bangalore 560067","South Indian Restaurant","null",560067,"Bangalore","Karnataka",2
"Amruthahalli","Indian","Sanjay Dhaba","4bdf373917fdef3b8cbb4e36",13.05861151,77.59376661,"Bellary Rd","Indian Restaurant","Bellary Rd",560092,"Bangalore","Karnataka",1
"Chikkalasandra","Fried Chicken","Kfc","5fdf7e25360d36064e86b54a",12.911648,77.556472,"Bangalore 560061","Fried Chicken Joint","null",560061,"Bangalore","Karnataka",0
"Hosakote","Indian","Shri Guru Nalapaka","4f18e65fe4b012690bea34ce",13.07268949,77.78687467,"Hosakote","Indian Restaurant","Hosakote","null","Bangalore","Karnataka",2
"Bannerghatta Road","Italian","Handmade By Flavour","5fdf63643b41d51ed0486174",12.910037,77.60744,"Bangalore 560076","Italian Restaurant","null",560076,"Bangalore","Karnataka",0
"J P Nagar","South Indian","Brahmin Tiffins","5b95ef5d6e4650002ccaaa90",12.891828,77.57947,"Bangalore 560078","South Indian Restaurant","null",560078,"Bangalore","Karnataka",0
"Hosur Rd","Middle Eastern","Fanoos","4ba04c82f964a520256737e3",12.964384,77.60672836,"17, Hosur Rd, Near Johnson Market (Richmond Town)","Middle Eastern Restaurant","17, Hosur Rd, Near Johnson Market","null","Bangalore","Karnataka",0
"Kempegowda International Airport","Fast Food","KFC","567e7057498ec372b8abdcff",13.20109151,77.70970955,"Kempegowda International Airport","Fast Food Restaurant","Kempegowda International Airport","null","Bangalore","Karnataka",1
"Basavanagudi","Breakfast","Brahmins Coffee Bar","4bf61de3d4cdb713d04984fe",12.95398336,77.5688621,"Near Shankar Math (Ranga Rao Rd, Shankarpuram, Basavanagudi)","Breakfast Spot","Near Shankar Math",560004,"Bangalore","Karnataka",0
"Bellary Road","Indian","Swathi Gardenia","4c2802699eb195219b6d2959",13.05910807,77.59318444,"Bellary Road","Indian Restaurant","Bellary Road","null","Bangalore","Karnataka",1
"H.A.L II Stage","Hotel","The Leela Palace","4ad0af16f964a52012d920e3",12.96092772,77.64855594,"23, Old Airport Rd","Hotel","23, Old Airport Rd",560008,"Bangalore","Karnataka",2
"Kanakpura Road","Indian","South Thindies","4cac7cd22776b60cbce6510d",12.938533,77.57543729,"Kanakpura Road (Basavanagudi)","Indian Restaurant","Kanakpura Road","null","Bangalore","Karnataka",0
"J P Nagar","Indian","Kabab Magic","4beac8def90e9c74f474e3ed",12.91624835,77.59689893,"#1548, East End Circle, 9th Block, Jayanagar, Bangalore (East End Mn Rd, JP Nagar III Phase)","Indian Restaurant","#1548, East End Circle, 9th Block, Jayanagar, Bangalore",560078,"Bangalore","Karnataka",0
"santrupthi nagar","Breakfast","Kakal Kai Ruchi","4c146f89583c9c74b0993fa4",12.88728663,77.58201624,"Opp. Big Bazzar, 1st main, santrupthi nagar (kothanur dine main road, JP Nagar 7th phase)","Breakfast Spot","Opp. Big Bazzar, 1st main, santrupthi nagar","null","Bangalore","Karnataka",0
"Sampangiramnagar","Seafood","Anupam's Coastal Express","575d8cd8498e307fd891c6f7",12.961987,77.59796,"Shop Number- 1, Cornwell Street, Langford Garden, Shanti Nagar, Bengaluru, Karnataka (Cornwell Street)","Seafood Restaurant","Shop Number- 1, Cornwell Street, Langford Garden, Shanti Nagar, Bengaluru, Karnataka",560027,"Bangalore","Karnataka",0
"Bangalore","Breakfast","Airlines Hotel","4bb59ca0f562ef3bd3262f97",12.97294792,77.59983135,"#4 (Madras Bank Rd)","Breakfast Spot","#4",560001,"Bangalore","Karnataka",0
"Bangalore","Steakhouse","The Only Place","4b686ae2f964a52045772be3",12.97330475,77.60351382,"No 13, Museum Road (Richmond Town) (Church Street)","Steakhouse","No 13, Museum Road (Richmond Town)",560001,"Bangalore","Karnataka",0
"Carmelram","Brewery","Aurum Brew Works","5c30a751febf31002c81f3a4",12.91038859,77.68557094,"Bangalore 560035","Brewery","null",560035,"Bangalore","Karnataka",2
"Banaswadi","Brewery","Wanderers","5a379cf6e7a2371f6a65e5de",13.023135,77.64312,"7M-417, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar","Brewery","7M-417, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar",560043,"Bangalore","Karnataka",1
"Bangalore International Airport","Brewery","Windmills Craftswork","5c849a711953f3002c8a751e",13.199887,77.709638,"Bangalore 560300","Brewery","null",560300,"Bangalore","Karnataka",1
"Koramangala VI Bk","Brewery","Bier Garten","5c23966ea6031c002c6dcbb4",12.933482,77.61415,"Bangalore 560095","Brewery","null",560095,"Bangalore","Karnataka",0
"Koramangala VI Bk","Brewery","The Bier Library","5c14c03accad6b00391f565e",12.939178,77.625824,"Bangalore 560095","Brewery","null",560095,"Bangalore","Karnataka",0
"Koramangala VI Bk","Bar","Bob's Bar","5c5db9665455b2002c551c87",12.934501,77.61308,"Bangalore 560095","Bar","null",560095,"Bangalore","Karnataka",0
"Bannerghatta Road","Brewery","Uru Brewpark","5d29fa3abf5e0e002361cf2b",12.905577,77.600966,"Bangalore 560076","Brewery","null",560076,"Bangalore","Karnataka",0
"Bannerghatta Road","Pub","By The Peepal","5c726b1bf00a70002c8d57cf",12.906442,77.595441,"Bangalore 560076","Pub","null",560076,"Bangalore","Karnataka",0
"Agara","Brewery","Simon Says Brew Works","5b53342d4420d8002c0189df",12.934428,77.616,"above boozy griffin (kormangala 4th block)","Brewery","above boozy griffin",560034,"Bangalore","Karnataka",0
"J P Nagar","Brewery","Brahma Brews","5c2a57df9be522002cb4901f",12.893477,77.58662,"Bangalore 560078","Brewery","null",560078,"Bangalore","Karnataka",0
"H.A.L II Stage","Pub","Daddy","5d03c9ef1543c70039818919",12.969993,77.639915,"Daddy Bangalore, 963, 12th Main Rd, HAL 2nd Stage, Indiranagar","Pub","Daddy Bangalore, 963, 12th Main Rd, HAL 2nd Stage, Indiranagar",560008,"Bangalore","Karnataka",0
"J P Nagar","Brewery","The Pump House","5bf176239be522002ce687cd",12.90665411,77.58218445,"Outer Ring Road","Brewery","Outer Ring Road",560078,"Bangalore","Karnataka",0
"Indiranagar","Brewery","Toit Brewpub","4d74e829e278f04d748c5db8",12.97936742,77.64070245,"298, 100 Ft Rd, Indiranagar (at 100 Ft Rd)","Brewery","298, 100 Ft Rd, Indiranagar",560038,"Bangalore","Karnataka",0
"Windsor Manor","Pub","Dublin","4b8f212bf964a5207d4a33e3",12.99430094,77.58571184,"Windsor Manor (No. 25, Golf Course Road)","Pub","Windsor Manor",560052,"Bangalore","Karnataka",1
"Bangalore","Bar","The Barstock Exchange","5b23fa9a2387060031874d2a",12.976242,77.60212,"Bangalore 560001","Bar","null",560001,"Bangalore","Karnataka",0
"Seshadripuram","Indian","New Samrat Restaurant","4d71c7d495bc8eec74015ff9",12.98939464,77.57276446,"173/1, S.C. Road, (Seshadripuram)","Indian Restaurant","173/1, S.C. Road,",560020,"Bangalore","Karnataka",1
"Carmelram","Brewery","Byg Brewski Brewing Company","5bf033e351950e002c9c835f",12.913077,77.68314,"Sarjapur Road (Behind MK Retail)","Brewery","Sarjapur Road",560035,"Bangalore","Karnataka",2
"Kenchanahalli","Bar","Secret Of Bangalore","5c447af2c97f28002c8ee58d",12.909596,77.527366,"Bangalore 560098","Bar","null",560098,"Bangalore","Karnataka",0
"CMP Centre And School","Brewery","ShakesBierre","5c0a8abf123a19002c0c042c",12.97086,77.607431,"Eva Mall (Brigade Road)","Brewery","Eva Mall",560025,"Bangalore","Karnataka",0
"Agara","Lounge","TBC","5a2bf5b4d552c729178b0da6",12.92281414,77.65143021,"27th Main , Hsr Layout","Lounge","null",560034,"Bangalore","Karnataka",2
"Devanagundi","Pub","One For The Road","5c0bc265fdb9a7002cef2867",13.010584,77.75994,"Bangalore 560067","Pub","null",560067,"Bangalore","Karnataka",2
"H.A.L II Stage","Bar","Nevermind","5c1d16897b385f002cf82199",12.970411,77.646028,"No.614,615. (12th Main Road)","Bar","No.614,615.",560008,"Bangalore","Karnataka",2
"Kenchanahalli","Bar",1522,"5fcfa47f40b9ef018c875d6b",12.931655,77.51577,"Rajarajeshwari Nagar","Bar","Rajarajeshwari Nagar",560098,"Bangalore","Karnataka",0
"G.K.V.K.","Pub","The Irish House","5d6a94a12c61ca0008ac76cb",13.093894,77.594955,"Roof top Rmz galleria","Pub","Roof top Rmz galleria",560065,"Bangalore","Karnataka",1
"J P Nagar","Pub","1522 - The Pub","5db1c15525ae4e000813fdbc",12.906314,77.57594,"Bangalore 560078","Pub","null",560078,"Bangalore","Karnataka",0
"Agara","Pub","Gilly�s Redefined","59d8a0c49b047332498ffcf8",12.93338755,77.62352536,"Bangalore 560034","Pub","null",560034,"Bangalore","Karnataka",0
"Jayanagar","Pub","Taproom By Sherlocks","5fd4f3ef5fbb403a483882e6",12.9060755,77.58526,"Bangalore 560041","Pub","null",560041,"Bangalore","Karnataka",0
"Banaswadi","Lounge","Firehouse","53233741498e2461521ae9bc",13.02625313,77.63621928,"5BC-310, Siri Complex (HRBR 3rd Block)","Lounge","5BC-310, Siri Complex",560043,"Bangalore","Karnataka",1
"Chudenapura","Bar","Ginger Lake View","5d18c74aa24dd70023e8b230",12.907182,77.49086,"Bangalore 560060","Bar","null",560060,"Bangalore","Karnataka",0
"Malleswaram West","Lounge","High Ultra Lounge","52efb538498efdf63a59f0f1",13.01220403,77.55592915,"26/1 , 31st Floor, Dr. Rajkumar Road, World Trade Centre, Brigade Gateway Campus, Malleshwaram West, Bangalore","Lounge","26/1 , 31st Floor, Dr. Rajkumar Road, World Trade Centre, Brigade Gateway Campus, Malleshwaram West, Bangalore",560055,"Bangalore","Karnataka",1
"Bangalore","Lounge","Skyye","4d23471ed7b0b1f7d0552c9f",12.97164564,77.59624184,"Uber Level, 16th Flr., UB City, Vittal Mallya Rd. (Lavelle Rd.)","Lounge","Uber Level, 16th Flr., UB City, Vittal Mallya Rd.",560001,"Bangalore","Karnataka",0
"Bannerghatta Road","Lounge","Hakuna Matata","548ef654498ec5db5ef6f1d5",12.89402845,77.58650906,"1231/35/2, 24th Main,Opposite Brigade Palm Springs (Brigade Millenium Rd, JP Nagar 7th Phase)","Lounge","1231/35/2, 24th Main,Opposite Brigade Palm Springs",560076,"Bangalore","Karnataka",0
"Doddagubbi","Brewery","Byg Brewski","5b112e692f97ec002c46bcea",13.0708372,77.65231006,"Blossoms Rd, Kuvempu Layout (Visthar)","Brewery","Blossoms Rd, Kuvempu Layout",560077,"Bangalore","Karnataka",1
"Adugodi","Lounge","Koramangala Social","57fe668e498ea64ba5a539e4",12.9355183,77.61409673,"Kormangala (118 Industrial area)","Lounge","Kormangala",560030,"Bangalore","Karnataka",0
"Carmelram","Brewery","Big Brewsky","5409e518498e77fa821ec565",12.91314107,77.68323318,"Behind MK Retail, Before WIPRO Corporate Office (Sarjapur Rd)","Brewery","Behind MK Retail, Before WIPRO Corporate Office",560035,"Bangalore","Karnataka",2
"CMP Centre And School","Brewery","Arbor Brewing Company","50b8cfebe4b0b45a1a4919ad",12.9701396,77.61085658,"8, 3rd Flr., Allied Grande Plaza, Magrath Rd. (MG Rd.)","Brewery","8, 3rd Flr., Allied Grande Plaza, Magrath Rd.",560025,"Bangalore","Karnataka",0
"Bangalore","Pub","Church Street Social","5319e807498eef833aac3496",12.97555907,77.60257886,"46/1, Cobalt Building, Church Street, Opposite Hotel Empire (Church Street)","Pub","46/1, Cobalt Building, Church Street, Opposite Hotel Empire",560001,"Bangalore","Karnataka",0
"Bellary Road","Nightclub","Pebble","4b9442c3f964a520bd7134e3",13.00504488,77.5846391,"Princess No. 3, Bellary Road (Near Palace Grounds)","Nightclub","Princess No. 3, Bellary Road","null","Bangalore","Karnataka",1
"Richmond Town","Pub","The Permit Room","56f2af91498e6f78ab23d000",12.970388,77.61035835,"16/3, Commissariat Road, Richmond Town","Pub","16/3, Commissariat Road, Richmond Town","null","Bangalore","Karnataka",0
"CMP Centre And School","Brewery","Communiti","585d2b0b8f0be461c07c3db0",12.97261793,77.60822458,"Community India Hospitality And Resorts Pvt Ltd. 67 & 68, Brigade Solitaire (Residency Road, Opposite To Advaith Hyundai)","Brewery","Community India Hospitality And Resorts Pvt Ltd. 67 & 68, Brigade Solitaire",560025,"Bangalore","Karnataka",0
"M G Road","Park","Cubbon Park","4bbc4513e45295217db855a4",12.97704218,77.59527683,"M G Road","Park","M G Road","null","Bangalore","Karnataka",0
"Basavanagudi","Botanical Garden","Lalbagh Botanical Garden","4b5ee0ccf964a5201b9c29e3",12.94894848,77.58695126,"Lalbagh Road","Botanical Garden","Lalbagh Road",560004,"Bangalore","Karnataka",0
"CMP Centre And School","Park","Richmond Park","4d78ca24b706224b0bf02d8d",12.96326915,77.60129876,"Richmond Town (Alexander St)","Park","Richmond Town",560025,"Bangalore","Karnataka",0
"Jayamahal","Park","Jayamahal Park","4bab7f55f964a5200cae3ae3",13.0010871,77.59737968,"6th main Rd, Jayamahal","Park","6th main Rd, Jayamahal","null","Bangalore","Karnataka",1
"Cholanagar","Park","BDA PARK","4fe32fa9e4b0efa3a652d77b",13.03511217,77.59422445,"Cholanagar,R.T.Nagar Post,","Park","Cholanagar,R.T.Nagar Post,","null","Bangalore","Karnataka",1
"Girinagar","Park","Avalahalli BDA park","4bf227ad70779521d8aa3e7c",12.94281511,77.5424473,"Girinagar","Park","Girinagar","null","Bangalore","Karnataka",0
"EPIP","Park","Whitefield Park","5dc8b67ee42b4c0007a61eaf",12.971382,77.748469,"Bangalore 560066","Park","null",560066,"Bangalore","Karnataka",2
"Chikkalasandra","Park","Poornapragna Park","5d67387ad3702c00083f7247",12.906772,77.532539,"poornapragna","Park","poornapragna",560061,"Bangalore","Karnataka",0
"Dodda Aalada Mara","Park","Big Banyan Tree","4d40056d89616dcbd1dcffb4",12.90983507,77.39548908,"Dodda Aalada Mara","Park","Dodda Aalada Mara","null","Bangalore","Karnataka",0
"Jalahalli West","Park","Abbigere Park","59df51c261f0706ea6de8211",13.06969,77.52936,"Abbigere, Bengaluru, Karnataka 560015","Park","Abbigere, Bengaluru, Karnataka 560015",560015,"Bangalore","Karnataka",1
"HSR","Park","Sector 3 Twin Park","593e781a9e0d54794da37f2a",12.907971,77.64066,"Bangalore 560102","Park","null",560102,"Bangalore","Karnataka",0
"Kathriguppe","Park","Kathriguppe Water Tank Park","50d3c4f3e4b0fcfcdc2de0b2",12.92700991,77.54576708,"Kathriguppe","Park","Kathriguppe","null","Bangalore","Karnataka",0
"Dewan Madhawa Rao Rd.","Park","Krishna Rao Park","4c5568ac728920a195765c84",12.93581936,77.56729683,"Dewan Madhawa Rao Rd.","Park","Dewan Madhawa Rao Rd.","null","Bangalore","Karnataka",0
"Hall Road","Park","Richard's Park","4b53d3bff964a5208aac27e3",13.0042618,77.61739572,"Hall Road","Park","Hall Road","null","Bangalore","Karnataka",1
"Dollars Colony","Park","BBMP Park","4f01a591be7bbcd4f5353e50",13.03997889,77.57090909,"Dollars Colony (3rd Main)","Park","Dollars Colony","null","Bangalore","Karnataka",1
"St. Johns Church Road","Park","Coles Park","4c7b0dde794e224be8a46a28",12.9939575,77.60956764,"St. Johns Church Road (Seppings Road)","Park","St. Johns Church Road","null","Bangalore","Karnataka",1
"Basweshwarnagar","Park","Sambhav moorthy park","4c0fb75998102d7f0fa7e506",12.99749097,77.5378561,"Basweshwarnagar","Park","Basweshwarnagar","null","Bangalore","Karnataka",1
"Nagawara","Lake","Lumbini Gardens","5066bc5fe4b0e865581fec0e",13.04324191,77.60029158,"Nagawara","Lake","Nagawara","null","Bangalore","Karnataka",1
"Nagarbhavi","Park","Buddha Park","5b9e5cafd48ec1002c22c829",12.978958,77.51365,"Bangalore 560072","Park","null",560072,"Bangalore","Karnataka",0
"Koramangala","Park","Koramangala 6th Block Park","4c56a5d17329c92822f98c80",12.93756267,77.62113848,"20th Main (Koramangala 6th Block)","Park","20th Main","null","Bangalore","Karnataka",0
"Jayangar III Block","Park","Madhavan Park","4d79d86cf87b236ad202371f",12.93588764,77.58510997,"Jayanagar 1st Blk (South End Rd)","Park","Jayanagar 1st Blk",560011,"Bangalore","Karnataka",0
"Domlur","Park","BMP Park","4e50ff5cb61cf637a50a4d74",12.96878889,77.63639915,"12 B Main, Indiranagar","Park","12 B Main, Indiranagar",560071,"Bangalore","Karnataka",0
"Shankarnag Circle","Park","shankarnag circle park","50c7e8cee4b0a64e36342aed",12.93744907,77.55921875,"Shankarnag Circle","Park","Shankarnag Circle","null","Bangalore","Karnataka",0
"Jayangar III Block","Park","LIC Colony Park","4d195acbf4ee6a3194714a12",12.93197118,77.58934066,"LIC Colony (Jayanagar 3rd Block)","Park","LIC Colony",560011,"Bangalore","Karnataka",0
"Bannerghatta Road","Park","BBMP Park","4eca4ff3775bf65c06b4a55e",12.89198136,77.60842155,"Bilekahalli (Vijaya Bank Layout)","Park","Bilekahalli",560076,"Bangalore","Karnataka",0
"H.K.P. Road","Park","mahatma Gandhi park","52504c1e2fc66c579b059a9e",12.977314,77.59975076,"1 mg road","Park","1 mg road",560051,"Bangalore","Karnataka",0
"wilson garden 9th cross","Park","Hombegowda Park","4cc6854cbde8f04d4d59b74b",12.94696898,77.59447771,"wilson garden 9th cross","Park","wilson garden 9th cross","null","Bangalore","Karnataka",0
"Mahalakshmipuram","Park","Swami Vivekananda Udyanavana","5cc315773abcaf0033bcd6ee",12.999781,77.542076,"Shankaramutt","Park","Shankaramutt",560086,"Bangalore","Karnataka",1
"Attur","Park","Shankar Nag Memorial Park","5baf9002c4df1d002ca5e5ca",13.095941,77.58193,"Bangalore 560064","Park","null",560064,"Bangalore","Karnataka",1
"Indiranagar","Park","BBMP Indiranagar Park","50fa95a0e4b00afff686b507",12.97791023,77.64143337,"Opp KFC (100 Ft. Road, Indiranagar)","Park","Opp KFC","null","Bangalore","Karnataka",0
"H.A.L II Stage","Park","triangle park","515a3961e4b044dc8c77dd02",12.96295139,77.64956595,"6th main, Near leela palace. (Kodihally, HAL 2nd stage)","Park","6th main, Near leela palace.",560008,"Bangalore","Karnataka",2
"cubbon park","Park","Shilpa","4e0fd8c6d22d8582bdcd5226",12.98064034,77.59738188,"cubbon park","Park","cubbon park","null","Bangalore","Karnataka",0
"Bangalore","Park","Traffic Police Park","4d182b747c5b8eecffe8bbc6",12.97342478,77.60086656,"St. Marks Road","Park","St. Marks Road",560001,"Bangalore","Karnataka",0
